classifier,label,data,runtime,precision,recall,f_measure
['K-Nearest Neighbors'],['sentiments'],['dict_vec_feature_set_data'],[4543.596],[0.8403929626923101],[0.7487205555056774],[0.7854086930913129]
['K-Nearest Neighbors'],['aspects'],['dict_vec_feature_set_data'],[4315.829],[0.8166004330214371],[0.7417581267234835],[0.7728991794527262]
['K-Nearest Neighbors'],['modifiers'],['dict_vec_feature_set_data'],[3869.9489999999996],[0.7692650824062286],[0.6967469959074775],[0.7268620041299704]
